TP	FP	FN	Precision	Recall	F1	sample	tool	BC	dataset
98	5	0	0.9514563106796117	1	0.9751243781094527	mockeven_05	MetaPhlAn v3.0	0.07479301519333027	Non-human
23	32	75	0.41818181818181815	0.23469387755102042	0.30065359477124187	mockeven_05	MetaPhlAn2 v2.7	0.7024028583867615	Non-human
66	3	32	0.9565217391304348	0.673469387755102	0.7904191616766467	mockeven_05	mOTUs251_precision	0.3432575425616491	Non-human
81	51	17	0.6136363636363636	0.826530612244898	0.7043478260869565	mockeven_05	mOTUs251_recall	0.2929174929940641	Non-human
33	3533	65	0.009254066180594503	0.336734693877551	0.018013100436681223	mockeven_05	Bracken_208_25_refseq	0.7115196982948198	Non-human
94	14	0	0.8703703703703703	1	0.9306930693069307	mockeven_04	MetaPhlAn v3.0	0.09617415345592376	Non-human
24	28	70	0.46153846153846156	0.2553191489361702	0.3287671232876712	mockeven_04	MetaPhlAn2 v2.7	0.7050943999308575	Non-human
60	6	34	0.9090909090909091	0.6382978723404256	0.75	mockeven_04	mOTUs251_precision	0.384225954861233	Non-human
76	58	18	0.5671641791044776	0.8085106382978723	0.6666666666666666	mockeven_04	mOTUs251_recall	0.32462229450078717	Non-human
37	3517	57	0.010410804727068092	0.39361702127659576	0.020285087719298246	mockeven_04	Bracken_208_25_refseq	0.6494061316519963	Non-human
95	11	0	0.8962264150943396	1	0.9452736318407959	mockeven_03	MetaPhlAn v3.0	0.07130034800507466	Non-human
24	33	71	0.42105263157894735	0.25263157894736843	0.3157894736842105	mockeven_03	MetaPhlAn2 v2.7	0.6915303894696924	Non-human
57	8	38	0.8769230769230769	0.6	0.7124999999999999	mockeven_03	mOTUs251_precision	0.424198182609858	Non-human
81	69	14	0.54	0.8526315789473684	0.6612244897959184	mockeven_03	mOTUs251_recall	0.3338035834597768	Non-human
31	3594	64	0.008551724137931035	0.3263157894736842	0.016666666666666666	mockeven_03	Bracken_208_25_refseq	0.6927134646962234	Non-human
96	12	0	0.8888888888888888	1	0.9411764705882353	mockeven_02	MetaPhlAn v3.0	0.0981098319219645	Non-human
29	28	67	0.5087719298245614	0.3020833333333333	0.3790849673202615	mockeven_02	MetaPhlAn2 v2.7	0.6583489549263573	Non-human
56	7	40	0.8888888888888888	0.5833333333333334	0.7044025157232704	mockeven_02	mOTUs251_precision	0.4334811058976289	Non-human
77	70	19	0.5238095238095238	0.8020833333333334	0.6337448559670783	mockeven_02	mOTUs251_recall	0.35658102878762726	Non-human
32	3484	64	0.009101251422070534	0.3333333333333333	0.017718715393133997	mockeven_02	Bracken_208_25_refseq	0.7170045384234467	Non-human
95	17	0	0.8482142857142857	1	0.9178743961352658	mockeven_01	MetaPhlAn v3.0	0.11016425076080764	Non-human
28	34	67	0.45161290322580644	0.29473684210526313	0.35668789808917195	mockeven_01	MetaPhlAn2 v2.7	0.6977557999443346	Non-human
57	4	38	0.9344262295081968	0.6	0.7307692307692308	mockeven_01	mOTUs251_precision	0.42788495175270774	Non-human
77	63	18	0.55	0.8105263157894737	0.6553191489361703	mockeven_01	mOTUs251_recall	0.3354205835174002	Non-human
37	3506	58	0.010443127293254304	0.3894736842105263	0.02034084661902144	mockeven_01	Bracken_208_25_refseq	0.6567976265026846	Non-human
20	1	0	0.9523809523809523	1	0.975609756097561	largepan_05	MetaPhlAn v3.0	0.197596740120163	Non-human
14	6	6	0.7	0.7	0.7	largepan_05	MetaPhlAn2 v2.7	0.2826973665930369	Non-human
9	1	11	0.9	0.45	0.6	largepan_05	mOTUs251_precision	0.55	Non-human
20	39	0	0.3389830508474576	1	0.5063291139240507	largepan_05	mOTUs251_recall	0.41095373397092844	Non-human
16	2482	4	0.006405124099279423	0.8	0.012708498808578236	largepan_05	Bracken_208_25_refseq	0.29676159967966365	Non-human
20	2	0	0.9090909090909091	1	0.9523809523809523	largepan_04	MetaPhlAn v3.0	0.14347495717374786	Non-human
15	5	5	0.75	0.75	0.75	largepan_04	MetaPhlAn2 v2.7	0.24127567311180387	Non-human
11	0	9	1	0.55	0.7096774193548387	largepan_04	mOTUs251_precision	0.49330127913526717	Non-human
20	27	0	0.425531914893617	1	0.5970149253731344	largepan_04	mOTUs251_recall	0.29037126671583	Non-human
18	2696	2	0.006632277081798084	0.9	0.013167520117044624	largepan_04	Bracken_208_25_refseq	0.25407591692487896	Non-human
19	0	0	1	1	1	largepan_03	MetaPhlAn v3.0	0.06636332993008565	Non-human
